0,1,2,3,4,5,6,7,8,9,10,11,12,Diff,13,Diff,14,15,16
C,-17.81,-17.55,-17.80126339,-18.20857143,-17.79408746,-17.97384615,-17.95402906,-18.15791496,-17.65249619,-17.97285714,-17.78225832,-18.09714286,0.287142857,-17.83111844,0.02111844,-18.15791496,-17.88676318,-17.85
C#C,54.56,56.13,54.91968951,54.83636364,54.98728788,54.7165078,54.9993912,55.07721496,54.9211445,54.3725,54.40742806,54.77174213,0.211742127,54.86238351,0.302383506,54.97539678,54.93626662,54.85
C#CC#C,110.0143403,112.5443,110.2271864,109.7209667,110.2290245,110.2609667,109.9049177,109.6009667,109.6224299,109.6743,108.9972059,109.8876333,0.126706967,110.4187178,0.404377499,109.6009667,110.3445128,110.0609667
C#CCC,39.62,42.22,39.83031346,39.88941414,39.89129581,39.99941651,39.75692524,39.65125756,39.74208549,40.09125,39.96658299,39.93351765,0.313517653,39.93616811,0.316168106,40.051875,39.88227979,39.87411765
C/C=C/C,-2.7,-0.42,-2.782342166,-2.795517241,-2.700478762,-2.684064519,-2.589013214,-2.392333333,-2.599363819,-2.675192716,-2.711310365,-2.65613193,0.04386807,-2.748388699,0.048388699,-2.734827586,-2.776111468,-2.740344828
C/C=C\C,-1.75,0.75,-1.505129519,-1.473793103,-1.483808904,-1.420066743,-1.412182222,-1.224666667,-1.417140672,-1.440723248,-1.539668927,-1.493465263,0.256534737,-1.493300032,0.256699968,-1.475357143,-1.512130404,-1.4575
C1=C=C1,118.5755258,120.4165,118.6039618,118.4011154,118.5673235,118.4934231,118.5295704,118.6449615,118.3477108,118.0011154,118.526939,118.1015,0.4740258,118.8654279,0.289902089,118.2648333,118.874589,118.2449615
C1=CC1CC2C=C2,50.79,60.35,55.20926127,54.83666667,57.38121837,55.58333333,55.15711268,55.12333333,55.51571357,55.74333333,55.72216484,55.21666667,4.426666667,55.51354362,4.723543623,54.50333333,56.75949501,55.53333333
C1=CC=CC=C1,19.86,22.1,20.35941254,20.355,20.40841553,20.1125,20.33680669,20.39,20.37085297,20.1225,18.31534543,20.29787518,0.437875183,20.32600103,0.466001034,19.93,20.36140563,19.9475
C1=[C]C1,125.13,126.83,124.8414396,124.4846143,124.5632896,124.4188982,124.8232649,124.8056661,124.5930881,124.7938889,124.7947672,124.4384565,0.691543509,124.7846236,0.345376367,124.7535668,124.3233077,123.9752632
C1C=C1,67.83,69.63,67.56896913,67.34828258,67.63197308,67.35828258,67.6684755,67.91081431,67.6760646,67.48995764,67.79063091,67.22441308,0.605586925,67.76032767,0.069672332,67.91081431,67.63185718,67.52636659
C1C=CC=C1,31.73,35.02,31.7718512,31.89694365,31.39920465,31.50025713,31.33112109,30.25709544,31.58411217,30.31725645,31.72319183,31.98246273,0.252462731,32.12947664,0.399476641,30.25709544,32.10528225,30.37176211
C1CC1,12.82,14.63,12.58813508,12.08150003,12.52960626,12.06870458,12.54551354,12.31532158,12.90305207,12.53909091,12.93771734,12.68241095,0.13758905,12.53154776,0.288452235,12.27032158,12.59089305,12.20435718
C1CC=C1,38.18,41.04,38.51306553,38.57851783,38.54706174,38.56522416,38.48951872,38.36222222,38.50213386,38.56460806,38.8026927,38.31791225,0.137912251,38.51493653,0.334936526,38.57212071,38.64449218,38.56177589
C1CC=CC1,8.09,11.22,7.855890865,7.886285567,7.838511224,7.841673881,7.836009312,7.806521739,8.081241032,7.862272727,8.294135671,8.311798807,0.221798807,7.862050486,0.227949514,7.821673881,7.985817898,7.807760838
C1CCC1,6.6,9.75,7.36827082,7.392339971,7.426023067,7.364739971,7.165261771,7.035769231,7.47232723,7.444,7.438246033,7.280131055,0.680131055,7.381392905,0.781392905,7.353134643,7.405285111,7.32428849
C1CCCC1,-18.54,-15.44,-18.35754315,-18.0031136,-18.38227937,-18.00421425,-18.09236682,-17.90254345,-18.36113931,-18.32533088,-18.32169868,-18.3868864,0.153113603,-18.4115095,0.128490502,-18.33,-18.49521773,-18.22447724
C1CCCCC1,-29.43,-26.28,-30.16275703,-29.99653577,-30.17729815,-30.01153577,-30.02804632,-30.11148112,-29.94979125,-29.97384615,-30.09971103,-30.04653577,0.616535766,-30.08553423,0.655534228,-30.04610005,-30.21527546,-30.00810005
C1[C]=CC=C1,80.56,85.33,82.02501365,82.04444444,82.04962323,81.89688768,81.94383889,81.91888889,81.32951746,77.35125,81.72739823,82.47147263,1.911472625,82.49122885,1.931228846,81.74895949,82.01527852,81.81906436
C=C,12.54,13.55,12.34490963,12.15638195,12.39593065,12.15309463,12.4773514,12.4807786,12.5257496,11.74818182,12.17096536,12.20038945,0.339610555,12.35461779,0.185382206,12.4807786,12.36323455,12.15142857
C=C=C,45.38,46.84,44.9449637,44.86669488,45.05806553,45.04013482,45.30771213,45.01794516,45.12079478,44.57990258,45.04448712,44.82207465,0.557925347,45.19891199,0.181088014,44.96044516,45.04115514,44.90555114
C=CC=C,26.43,28.97,26.54289367,26.677,26.63992863,26.7355,26.6919247,26.775,26.6416174,26.46095129,26.73263581,26.6464446,0.216444599,26.59395173,0.163951731,26.68445129,26.6569297,26.71557266
C=CCCC=C,20.03,23.96,20.30504385,20.238,20.36760332,20.50545455,20.18180745,20.12,20.45404784,20.90255015,20.00607923,20.69481151,0.664811509,20.2266162,0.196616202,20.30790258,20.16415087,19.97536598
CC,-20.05,-19.28,-20.19627126,-20.22,-20.17752187,-20.21958333,-20.29669859,-20.56498035,-19.96699644,-20.36136364,-20.15369469,-20.26460362,0.214603617,-20.32572527,0.275725275,-20.56498035,-20.15451875,-20.26083333
CC#C,44.39,46.09,44.17588351,44.14611111,44.19582404,44.01105946,44.18614223,44.33937439,44.16082191,44.09,44.27592502,44.11408026,0.275919735,44.26380211,0.126197892,44.37757231,44.3245114,44.20294118
CC#CC,34.89,37.27,34.85075761,34.99705882,34.886974,35.01,34.9150589,34.89411765,34.7522355,35.0725,35.01807959,34.98351765,0.093517652,34.92672123,0.036721233,35.10125,34.96785801,34.89823529
CC#[C],125.87,128.44,126.6828774,126.6946667,126.7746241,126.6428076,126.7064316,126.7787993,126.7132451,126.5586667,126.3828908,126.6355793,0.765579289,126.7656577,0.895657711,126.8200424,126.6797756,126.666
CC(C)=C,-4.1,-1.83,-3.985162184,-4.052758621,-3.985682525,-4.054,-3.946929966,-3.86765295,-4.008208588,-4.038365807,-4.113347532,-4.079465263,0.020534737,-4.046867445,0.053132555,-3.990333333,-4.086053944,-4.075679493
CC(C)C,-32.21,-30.17,-32.10538751,-32.0878125,-32.04380139,-32.0818281,-32.13221252,-32.01355746,-32.15923498,-32.3290625,-32.22363401,-32.25078066,0.040780658,-32.20087088,0.009129123,-32.15774194,-32.34585076,-32.23032258
CC(C)CC(C)(C)C,-53.47,-49.63,-54.00492529,-53.97285714,-54.08579533,-53.92857143,-53.94724138,-54.18166667,-53.95230769,-53.76285714,-54.80296296,-54.32833333,0.858333333,-53.94241379,0.472413793,-54.07166667,-53.80659498,-53.67142857
CC1=CC=CC=C1,12.01,14.4,11.56728049,11.515,11.49167071,11.7575,11.52871419,11.48,11.51663257,11.71,9.827587522,11.57212482,0.437875183,11.5224513,0.487548699,11.885,11.54799468,11.9225
CC1CC1,5.81,8.08,5.550973016,5.693939971,5.768032156,5.7048,5.634951376,5.4036,5.67928633,5.686,5.797005284,5.610131055,0.199868945,5.871964172,0.061964172,5.66,5.750384752,5.638076923
CC=C,4.78,6.45,4.650915605,4.657428571,4.726365396,4.73,4.90723658,5.226823057,4.877950659,4.538235294,4.763358367,4.526955207,0.253044793,4.8403809,0.0603809,5.230548297,4.691363257,4.932424242
CCC,-25.1,-23.68,-25.22707839,-25.20866667,-25.27861593,-25.21896552,-25.27308151,-25.18990126,-25.1058758,-25.32766667,-25.15017274,-25.42601811,0.326018106,-25.20974613,0.109746125,-25.20748747,-25.24661603,-25.07241379
CCC(C)C,-36.63,-34.08,-36.74352464,-36.7328,-36.68764274,-36.76446003,-36.8435302,-36.79121157,-36.62585194,-36.5668,-36.79889478,-36.60566003,0.024339971,-37.01027085,0.380270853,-36.79576923,-36.89024589,-36.7332
CCC=C,-0.02,2.38,0.21280022,0.103793103,0.090844259,0.170333333,0.115285382,0.033333333,0.203981078,0.159645994,0.085446391,0.14386807,0.16386807,0.129371161,0.149371161,0.289310345,0.071601267,0.135
CCCC,-30.1,-27.91,-29.96123594,-29.92606061,-30.11902111,-29.98470988,-30.17502118,-30.26354901,-29.89175467,-30.051875,-29.96137594,-29.99078066,0.109219342,-30.20520129,0.105201288,-30.33761151,-30.16942583,-30.26076027
CCCCC,-34.98,-32.14,-34.92927819,-35.02148074,-34.98096291,-34.94763459,-35.07821584,-35.16846154,-34.68558265,-34.63653846,-34.85657261,-34.63606003,0.343939971,-35.02306054,0.043060542,-34.97273997,-34.89533542,-34.97993997
CCCCCC,-39.9,-36.38,-39.65459992,-39.64995788,-39.69350791,-39.66525199,-39.86904568,-39.87777778,-39.3278688,-39.26294118,-39.83739744,-39.51845397,0.381546026,-39.7129467,0.187053305,-39.69166667,-39.66842644,-39.61647059
CCCCCCCC,-49.78,-45.5,-50.29833499,-50.29714286,-50.28367397,-50.29714286,-50.05315549,-49.96571429,-49.38384615,-49.39571429,-50.59392857,-50.19833333,0.418333333,-50.09949194,0.319491942,-49.84571429,-50.18716109,-50.05
C[CH]C,21.2,22.61,20.92319518,20.71321429,20.91954774,20.79935747,20.92900377,21.03975263,20.98814634,20.77785714,20.96330285,20.92945182,0.270548185,20.92832972,0.271670285,20.96310136,20.83407316,20.65428571
C[C]=C,60.36,61.78,60.0210771,60.07333333,60.07337246,60.14135497,60.10065582,60.04502444,60.035,60.0337037,59.93320323,59.92383099,0.436169014,60.06266946,0.297330538,60.06463982,60.04506881,60.08038462
[CH2],93.58,94.75,94.17674605,93.86197328,94.19335381,93.90960135,94.30663514,94.85878773,94.19523324,93.85449671,94.5958396,94.26113061,0.681130613,94.31221893,0.732218929,94.85878773,94.17694414,94.47942802
[CH2]C,28.65,29.94,28.87759901,28.84074074,28.90871249,28.83666667,28.97554454,28.9107358,28.8879373,28.56230769,28.80126573,28.54997589,0.100024111,28.74360509,0.093605093,28.9107358,28.77539788,28.685
[CH2]C#C,84,85.37,83.44000726,83.52066935,83.56896495,83.42063004,83.39378299,83.17645893,83.32303075,83.36733333,83.32400193,83.56557929,0.434420711,83.35884508,0.641154922,83.17204236,83.43555077,83.436
[CH2]C=C,40.11,41.46,39.6668497,39.71111111,39.70896808,39.74857143,39.77190582,39.67482542,39.70999208,39.58407407,39.61188091,39.60383099,0.506169014,39.73119405,0.378805948,39.76522542,39.70950703,39.74166703
[CH2]CC,24.09,25.87,23.98102339,23.9375,24.05699196,24.01392857,24.2683786,24.40814273,24.29720294,24.15357143,24.23074704,24.18945182,0.099451815,24.29565645,0.205656448,24.39859878,24.07088725,23.94071429
[CH2]CCC,18.7,21.45,19.15840179,19.2244,19.22209557,19.35083333,19.25252138,19.17841601,19.42303789,19.45666667,19.06458082,19.32297905,0.622979054,19.37253199,0.672531988,19.28145949,19.21672571,19.37798123
[CH3],34.98,35.67,35.14252877,34.92894737,35.14717932,34.80222222,35.14548482,35.34703597,35.20613265,34.97388889,35.04266606,35.03111111,0.051111111,35.01389218,0.033892175,35.34703597,34.99809958,34.7555
[CH],142.48,142.48,141.9375713,142.1168764,141.8796402,141.9158631,141.7535409,141.4623822,141.6632331,141.8887264,141.7848286,142.0962278,0.383772228,141.6534149,0.826585087,141.4623822,141.7893023,141.6750483
[CH]1C=C1,116.26,118.37,116.3723703,116.1148707,116.0362041,115.985214,116.4615518,116.5734438,116.217175,116.3672222,116.3291845,115.9723454,0.287654621,116.4391281,0.179128137,116.5533686,116.321933,116.4272687
[CH]1CC1,69.36,71.72,69.97844819,69.88318919,69.83263523,69.68388863,69.73481365,69.78186491,69.80782302,69.58105263,69.88617843,69.2244516,0.135548399,69.70646488,0.346464885,69.76408713,69.73213236,69.35022136
[CH]=C,70.96,71.98,70.92335218,70.87390041,70.91419452,70.86995456,70.86392764,70.82621664,70.86839231,70.69576923,70.58163487,70.74093166,0.219068338,70.72073247,0.239267528,70.82621664,70.7206246,70.68875
[CH]=C=[CH],130.5879541,132.0493,130.421049,130.6174656,130.2051987,130.6403703,130.6761157,130.664205,130.3352988,130.3576395,130.1935345,130.1714298,0.416524275,130.6127434,0.024789261,130.6623404,130.4193341,130.9396917
[CH]=CC,64.34,66,64.20507567,64.31456332,64.28298777,64.41550542,64.34898916,64.31934273,64.2781373,64.32,64.15320323,64.14383099,0.196169014,64.32201372,0.017986276,64.41733213,64.20680354,64.34106858
[CH]C,84.71558317,86.1378,85.02037574,84.44907476,85.00244963,84.91123943,85.07028315,85.33091274,85.00295184,85.15928097,84.75082468,84.77565714,0.060073973,84.99780702,0.282223852,85.31242122,84.95618082,85.19576252
[C],171.34,171.22,170.2932966,171.642567,170.3136645,171.1604382,170.5966167,170.5181769,170.3316635,171.9685355,170.5435307,172.0718815,0.73188148,170.211997,1.128003039,170.5181769,170.3488182,171.39071
[C]#C,135.75,137.01,135.6567924,135.2306667,135.7436424,135.2656615,135.6139359,135.290709,135.7047389,135.4275,135.4351373,135.6328287,0.117171338,135.4979759,0.252024114,135.290709,135.7140466,135.2513333
[C]=C,98.51816444,99.9501,98.71009808,98.94937396,98.81060716,99.19377486,98.90767421,99.67484457,98.76683493,98.71100306,98.26636516,98.71152857,0.193364131,98.7989567,0.280792259,99.67484457,98.7007037,99.14511703
[C]=C=C,132.7891969,134.2872,132.8594663,132.8113352,132.8585687,133.2586048,132.9213964,132.8961022,132.6187399,132.6593802,132.4308286,132.4093298,0.379867075,132.8570584,0.067861471,133.0141022,132.7522324,133.4256618
[C]=C=[CH],172.6338432,174.1532,172.390119,172.8977762,172.4398374,172.7046256,172.6040645,171.9323357,172.2214601,171.6633855,172.2744546,172.3584248,0.275418429,172.5235326,0.110310596,171.8847153,171.9012543,171.9223357
[C]=C=[C],196.8164436,198.1966,196.8652531,197.2697257,196.7945105,197.0151278,196.9021703,197.3900178,196.8979711,197.7426742,195.3742484,196.4586,0.3578436,196.6389662,0.177477449,196.8878164,196.6400669,197.0529269
[C]=[C],198.0592734,197.3527,196.2772458,196.4569505,196.2098527,196.1588922,196.3791283,195.922306,196.1762153,196.7192624,195.3337298,196.8127,1.2465734,195.9787682,2.080505218,195.922306,196.1889186,196.5217417
[C]C,120.6692161,121.6585,120.593675,121.0795,120.5112968,120.8844975,120.5382272,120.0451478,120.2745118,121.1507573,120.2601349,121.1839545,0.514738445,120.3694324,0.299783724,120.1812022,120.4184726,120.5595121
[HH],-0.01,-1.09,-0.964297821,0,-0.942395833,0,-0.99457594,0,-0.898514555,0,-1.031570646,0,0,-0.824547648,0.814547648,0,-0.934729458,0
[H],52.1,52.1,52.21377315,0,52.11761094,0,52.44003297,0,52.06380784,0,53.33421305,0,0,52.33162432,0.23162432,0,51.96931713,0
,,,,,,,,,,,,,0.428281461,,0.411779378,,,
