[HH],-0.01,0.00,-0.12
[H],52.10,0.00,52.10
[C],171.34,0.01,171.21
[CH],142.48,0.03,148.32
[CH2],93.58,0.03,85.81
[CH3],34.98,0.02,44.99
C,-17.81,0.01,13.33
[C]=[C],198.0592734,0.064531549,218.9935
[C]#C,135.75,0.04,150.21
C#C,54.56,0.03,69.10
[C]=C,98.51816444,0.078871893,125.39
[C]C,120.6692161,0.20793499,135.04
[CH]=C,70.96,0.08,78.20
C=C,12.54,0.03,41.59
[CH]C,84.71558317,0.195984704,81.90
[CH2]C,28.65,0.07,44.75
CC,-20.05,0.03,19.11
[C]=C=[C],196.8164436,0.129063098,217.83
[C]=C=[CH],172.6338432,0.193594646,179.33
[CH]=C=[CH],130.5879541,0.150573614,119.56
[C]=C=C,132.7891969,0.100382409,156.61
C1=C=C1,118.5755258,0.112332696,165.47
[CH2]C#C,84.00,0.09,92.89
CC#[C],125.87,0.19,153.48
C1=[C]C1,125.13,0.19,167.92
[CH]1C=C1,116.26,0.18,128.60
C=C=C,45.38,0.06,73.72
CC#C,44.39,0.06,71.36
C1C=C1,67.83,0.13,103.24
[CH2]C=C,40.11,0.13,62.48
C[C]=C,60.36,0.17,78.07
[CH]=CC,64.34,0.19,66
[CH]1CC1,69.36,0.38,92.33
CC=C,4.78,0.05,45.71
C1CC1,12.82,0.11,57.97
[CH2]CC,24.09,0.15,52.50
C[CH]C,21.20,0.16,46.70
CCC,-25.10,0.05,26.44
C#CC#C,110.0143403,0.205544933,126.19
C#CCC,39.62,0.16,79.67
CC#CC,34.89,0.14,73.86
C=CC=C,26.43,0.10,72.31
C1CC=C1,38.18,0.22,88.60
CCC=C,-0.02,0.09,53.58
C/C=C\C,-1.75,0.10,50.45
C/C=C/C,-2.70,0.10,49.73
CC(C)=C,-4.10,0.11,51.75
C1CCC1,6.60,0.11,53.60
CC1CC1,5.81,0.31,64.80
[CH2]CCC,18.70,0.23,60.01
CCCC,-30.10,0.06,33.98
CC(C)C,-32.21,0.08,35.30
C1C=CC=C1,31.73,0.18,83.34
C1CC=CC1,8.09,0.11,60.73
C1CCCC1,-18.54,0.11,40.49
CCCCC,-34.98,0.07,41.54
CCC(C)C,-36.63,0.11,39.87
C1[C]=CC=C1,80.56,0.14,116.22
C1=CC=CC=C1,19.86,0.06,71.67
C=CCCC=C,20.03,0.10,88.33
C1CCCCC1,-29.43,0.09,44.89
CCCCCC,-39.90,0.08,49.09
CC1=CC=CC=C1,12.01,0.09,77.56
C1=CC1CC2C=C2,50.79,0.29,131.73
CCCCCCCC,-49.78,0.16,60.59
CC(C)CC(C)(C)C,-53.47,0.36,73.19
