0,1,2,3,4,5,6
C,-17.81070746,-17.916138193224878,-17.73791001172973,0,0,0
C#C,54.56022945,55.01945886626542,54.96862498635577,55.14397705346154,55.74581263,0
C#CC#C,110.0143403,109.84611104097279,109.82499608,109.96979606666666,0,0
C#CCC,39.61998088,39.74235817987615,39.75433745312879,39.914610424075,40.02520479173683,40.32727852366667
C/C=C/C,-2.700764818,-2.811226370011658,-2.6011494689549566,-2.5513749726888877,-2.656389818187497,-2.81791586375
C1=CC1CC2C=C2,50.78871893,56.092527908735285,55.01188336440001,56.852982790166664,0,0
C1=CC=CC=C1,19.86376673,16.889044891198864,0,15.430592735714285,0,0
C1=[C]C1,125.126673,124.97447514714545,124.55609657445524,125.00784646278261,124.40244742080002,123.55826004000001
C1C=C1,67.83460803,67.84522892925847,67.60690714056875,67.703430937863,67.62624550123999,67.60338750341667
C1C=CC=C1,31.73040153,31.617869738892516,31.117778494339802,31.0491317529091,30.631295421250005,30.161988570000013
C1CC1,12.82265774,12.911746320323276,12.609235525722893,12.476910494716215,12.553848486655173,12.466913638083334
C1CC=C1,38.17877629,38.57438014845355,38.410183919472075,38.52856399189705,38.534608028827584,38.566346797875
C1CC=CC1,8.090344168,8.000869492265181,7.8386200808771935,7.907013578465517,7.929477374000003,7.977731618272731
C1CCC1,6.603728489,7.386879176222313,7.22744024639674,7.32025050718644,7.387472041212121,7.456155589499999
C1CCCC1,-18.54206501,-18.53747352097652,-18.63033527105747,-18.607369634750004,-18.56197418946875,-18.5093785879375
C1CCCCC1,-29.43355641,-30.104035908966186,-30.272537991824564,-30.30797586896552,-30.285859551454553,-30.359010949818185
C1[C]=CC=C1,80.56405354,82.02297918481383,81.52814872949254,82.267211990375,82.03787282875,82.13246649999999
C=C,12.53585086,12.447056264353794,12.588070944023258,12.528983596447368,12.744569786999994,0
C=C=C,45.37762906,45.042029086616026,45.15017435642858,44.70188650833336,44.47748563000002,43.19808794000002
C=CC=C,26.42686424,26.489740117282008,26.71102181852941,26.571124383388888,25.67743788,0
C=CCCC=C,20.02629063,19.99828784899856,20.354452375406247,20.013679322857143,20.901376671000005,0
CC,-20.05497132,-20.26319938734834,-20.205971442134413,-20.266992017412704,-20.333648949960004,0
CC#C,44.39292543,44.30133195551775,44.188400806842104,44.207857017215694,44.31569364894445,44.39464151625001
CC#CC,34.89483748,34.78200913134059,34.77367518949243,34.38158005931818,34.26003822999999,34.10305450375
CC#[C],125.8699809,126.64750729987273,126.59037285637692,126.72927632839395,126.780172115,126.66176387625
CC(C)=C,-4.098948375,-4.221610084646962,-4.011734968382884,-3.9380958683103473,-3.8861950315000016,-3.6986233433333378
CC(C)C,-32.21319312,-32.52157068015507,-32.382602128703205,-32.173755975187504,-32.04859571005556,-31.92863288800001
CC1CC1,5.807839388,5.68849422612989,5.467178794869565,5.409239744880598,5.417665054411767,4.978814536250001
CC=C,4.777724665,4.726627774828305,4.896149512184314,4.875876106589745,4.954429863681818,4.726008610249991
CCC,-25.10277247,-25.369243105073455,-25.288434369592764,-25.346625236185716,-25.291809342485717,-25.409335564749995
CCC(C)C,-36.63240918,-37.15194497314442,-36.99198732636,-36.78546779465517,-36.72971656947058,-36.850038244
CCC=C,-0.019120459,-0.0073830144754386245,0.20471499974324184,0.13050259168253817,0.12281161933333194,0.3934082187499972
CCCC,-30.10038241,-30.249925957844937,-30.111176476054794,-30.14862995598667,-30.200877266095237,-30.210235820444446
CCCCC,-34.97609943,-35.182571050801094,-35.02280775778857,-35.02044710165001,-35.043261846810815,-35.010861482777784
CCCCCC,-39.89722753,-40.05375499061819,-39.69499332851887,-39.772075103611115,-39.696463587227285,-39.67985978608334
C[C]=C,60.36328872,59.94119255755544,60.022628619125,60.083380430370376,59.869767813,59.9296080325
[CH2],93.57552581,94.27351676133758,94.33674790090677,94.24602344964474,94.05150838522223,93.74359464
[CH2]C#C,83.99617591,83.49051129914548,83.3455443549154,83.38148232245001,83.37255171054545,83.28887826633333
[CH2]C=C,40.11472275,39.61636491455649,39.69899077500463,39.541677949175686,39.58348310900001,39.637227534333334
[CH2]CC,24.09416826,24.116262560768508,24.172107342427946,24.11000688484,24.055418598571432,23.937990611
[CH2]CCC,18.70219885,19.020584021527455,19.22813991329348,19.08117521437681,19.1548030576,19.15094385518182
[CH3],34.98422562,35.37723853874427,35.37249194402098,35.24451472597334,35.1227208389,0
[CH],142.4760994,142.01918896176477,142.04703025256637,141.8089842676923,141.63219460677774,141.45244741833332
[CH]1CC1,69.35946463,69.94497792372229,69.57888415209655,69.80865518873684,70.14878202140001,70.03365678175
[CH]=C,70.96319312,70.9099024802238,70.9521444838249,70.98952027048719,70.97420969716667,70.95960483833335
[CH]=CC,64.34273423,64.17744967197994,64.25487907926389,64.2967349913,64.24383843525,64.30505257575
[CH]C,84.71558317,85.05489399000597,85.02326366829747,85.14320672883335,85.15343137523078,85.55028200625001
[CH]C[CH],130.5879541,130.2520162031148,131.09420601055848,129.9564882014074,130.255143335,0
[C],171.3398662,170.5173512168564,171.1209508094091,170.85284708758536,170.87134085012502,170.49976582625
[C]#C,135.7528681,135.93084986851363,135.62975726363283,135.76418426069384,134.842676885,135.75115201375
[C]=C,98.51816444,98.83230942084987,98.93042728068028,99.14545681580435,99.0704620705,99.41332697749999
[C]=C=C,132.7891969,132.4121602330131,132.4898430757069,133.46493945166665,133.68934033,134.96873802
[C]=C[C],196.8164436,196.21273170482505,196.97004311155322,197.18112262164283,0,0
[C]=[C],198.0592734,195.9058613041291,196.47481636250748,196.45625239675002,195.87973228,195.87973228
[C]C,120.6692161,120.58791382454696,120.88023493323479,120.90032456084616,121.05453875862499,121.50931647374998
[C]C[CH],172.6338432,172.28086276896363,172.7205183336739,172.37537591488,172.96665396499998,0
[HH],-0.013862333,-0.9638233227207098,0,0,0,0
